,#,Pick,Name,Pos,Team,Bye,Overall,Std.Dev,High,Low,TimesDrafted,Graph
30,31,8.05,JuJu Smith-Schuster,WR,KC,8,74.6,6.7,4.09,8.06,137,"

"
31,32,8.09,Amari Cooper,WR,CLE,9,79.5,6.8,5.09,8.08,34,"

"
32,33,9.01,Rashod Bateman,WR,BAL,10,80.5,8.2,5.08,9.06,80,"

"
33,34,9.04,DeVonta Smith,WR,PHI,7,83.6,6.8,5.09,9.02,51,"

"
34,35,9.04,Elijah Moore,WR,NYJ,10,84.2,6.0,6.09,8.12,56,"

"
35,36,9.06,Brandon Aiyuk,WR,SF,9,85.7,6.6,4.11,8.12,67,"

"
36,37,9.10,Allen Lazard,WR,GB,14,90.1,5.9,6.07,9.09,145,"

"
37,38,10.01,Cordarrelle Patterson,WR,ATL,14,90.5,6.6,7.03,9.11,51,"

"
38,39,10.01,DeAndre Hopkins,WR,ARI,13,90.8,8.4,5.11,10.01,113,"

"
39,40,10.05,Christian Kirk,WR,JAX,11,95.3,6.7,7.07,10.04,89,"

"
40,41,11.01,Robert Woods,WR,TEN,6,101.1,6.5,7.11,10.11,41,"

"
41,42,11.02,Kadarius Toney,WR,NYG,9,102.0,6.4,8.03,10.02,28,"

"
42,43,11.03,Drake London,WR,ATL,14,102.6,6.8,7.10,10.11,67,"

"
43,44,11.07,Tyler Lockett,WR,SEA,11,107.3,7.5,8.02,11.06,40,"

"
44,45,11.08,Chris Olave,WR,NO,14,108.2,6.5,8.04,11.03,88,"

"
45,46,12.06,Skyy Moore,WR,KC,8,116.2,7.1,8.11,12.03,60,"

"
46,47,12.06,Michael Gallup,WR,DAL,9,116.3,5.7,9.04,11.06,48,"

"
47,48,12.07,Tyler Boyd,WR,CIN,10,117.4,9.2,8.10,12.05,39,"

"
48,49,12.08,D.K. Metcalf,WR,SEA,11,117.5,23.1,7.04,15.06,141,"

"
49,50,12.10,Julio Jones,WR,TB,11,120.1,9.2,9.02,12.08,56,"

"
50,51,13.07,George Pickens,WR,PIT,9,126.7,11.7,7.12,12.11,97,"

"
51,52,13.07,Marquez Valdes-Scantling,WR,KC,8,127.4,6.9,9.07,12.08,50,"

"
52,53,13.08,Treylon Burks,WR,TEN,6,128.5,8.6,9.06,12.12,44,"

"
53,54,14.01,Chase Claypool,WR,PIT,9,131.1,10.3,9.10,13.02,51,"

"
54,55,14.01,DeVante Parker,WR,NE,10,131.2,6.4,11.01,12.10,20,"

"
55,56,14.05,Romeo Doubs,WR,GB,14,134.8,9.7,9.06,13.05,48,"

"
56,57,15.05,Rondale Moore,WR,ARI,13,144.7,8.1,10.02,13.10,71,"

"
57,58,15.07,Jalen Tolbert,WR,DAL,9,146.8,10.8,10.09,14.11,22,"

"
58,59,16.01,Jahan Dotson,WR,WAS,14,150.8,8.1,12.06,15.03,36,"

"
59,60,16.01,D.J. Chark,WR,DET,6,150.9,10.3,10.11,15.07,44,"

"
60,61,16.01,Garrett Wilson,WR,NYJ,10,151.5,10.3,12.02,15.02,31,"

"
61,62,16.03,Mecole Hardman,WR,KC,8,152.5,10.5,11.07,15.02,25,"

"
62,63,16.03,Nico Collins,WR,HOU,6,153.1,13.8,7.10,15.01,62,"

"
63,64,16.05,Russell Gage,WR,TB,11,155.2,20.9,9.10,18.01,53,"

"
64,65,17.04,Isaiah McKenzie,WR,BUF,7,164.2,9.0,12.02,16.02,39,"

"
65,66,18.02,Jarvis Landry,WR,NO,14,171.5,18.4,10.03,18.04,57,"

"
66,67,18.06,Jameson Williams,WR,DET,6,175.8,17.3,13.02,18.05,28,"

"
67,68,18.07,Christian Watson,WR,GB,14,177.1,18.9,10.07,17.07,22,"

"
68,69,18.08,K.J. Osborn,WR,MIN,7,177.6,22.7,10.08,18.04,40,"

"
69,70,19.02,Kenny Golladay,WR,NYG,9,182.3,15.6,13.09,18.09,26,"

"
70,71,19.03,Josh Palmer,WR,LAC,8,182.7,17.1,12.01,18.06,41,"

"
71,72,19.07,Sammy Watkins,WR,GB,14,186.5,18.6,12.04,18.05,51,"

"
